Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
11131,70,3.0,72.59384731890083,72.03238841427743,7.0,15,16.0,1976,0.002211665,B,B,39,7614,3,,1,5,A
2947,24,2.0,38.42776052366593,26.17024966219608,6.0,3,12.0,1969,0.111627393,B,B,50,12238,8,1970.0,2,3,B
11409,13,2.0,59.1988915468934,35.92822456999305,10.0,7,17.0,1999,0.090799103,B,B,74,19083,2,,5,15,B
1004,113,2.0,38.12840213068283,23.05547115884133,6.0,7,14.0,1970,0.050755569,B,B,24,5469,1,145.0,0,1,B
12342,27,1.0,40.490420824536365,4.114601368713223,0.0,20,22.0,2019,0.211401214,B,B,9,1892,0,,0,1,B
1782,35,1.0,46.100282005874966,21.64009953964313,10.0,10,18.0,2015,0.089039719,B,B,33,7976,5,,0,11,B
7975,69,3.0,78.66060694247523,50.16195862060758,10.0,15,17.0,2004,0.000991363,B,B,33,6783,3,,1,9,B
8799,111,3.0,68.40220091269516,44.95740896568528,7.0,8,12.0,1972,0.135649789,B,B,46,7960,6,350.0,3,11,B
1801,96,1.0,42.31821324197608,20.558212048539534,10.0,7,12.0,2005,0.041116354,B,B,53,14892,4,,1,4,B
1883,85,3.0,75.37376214943367,46.069617895420095,10.0,15,16.0,1977,0.037177818,B,B,52,11217,1,2300.0,1,7,B
2894,2,2.0,63.97329732655228,33.233228908668735,9.0,2,25.0,2006,0.0,B,B,33,7425,1,,2,5,B
5628,1,1.0,48.61257626785504,,1.0,3,24.0,1977,0.007122317,B,B,1,264,0,,0,1,B
9130,78,1.0,42.50346666189677,22.253045981174136,9.0,13,14.0,1973,0.092290642,B,B,21,4346,2,165.0,1,2,B
13422,81,2.0,37.546278398389774,25.33890049500573,1.0,3,9.0,1977,0.319809354,B,B,25,4756,16,2857.0,5,8,B
9943,8,3.0,65.78645582631735,49.0502182321498,6.0,8,12.0,1978,0.219006007,B,B,28,6746,3,,1,4,B
9019,27,3.0,82.85753362707085,,10.0,5,20.0,1977,0.072157581,B,B,2,629,1,,0,0,A
4263,27,1.0,54.25519113954791,51.135218544797326,0.0,5,3.0,2017,0.072157581,B,B,2,629,1,,0,0,A
1301,10,2.0,51.16630329724744,34.96060928748633,8.0,12,17.0,1988,0.089039719,B,B,33,7976,5,,0,11,B
15296,62,1.0,45.089493654811214,,1.0,10,17.0,1977,0.072157581,B,B,2,629,1,,0,0,A
8637,27,1.0,44.85811421729996,19.096852165657133,8.0,12,17.0,2012,0.07542368,B,B,11,3097,0,,0,0,B
12527,28,2.0,49.43134112412743,31.043217100257568,6.0,3,9.0,1969,0.000995363,B,B,42,7651,1,,1,5,B
12552,58,3.0,116.40569299260972,113.1096533494165,112.0,3,3.0,2016,0.43788524,B,B,23,5735,3,1084.0,0,5,B
13129,73,1.0,46.76516825314715,48.24013335610557,1.0,6,9.0,2016,0.042031587,B,B,37,6856,84,1940.0,2,5,B
2994,64,3.0,62.97728649600455,42.318754314079904,5.0,6,9.0,1972,0.002211665,B,B,39,7614,3,,1,5,A
